little,ring,middle,pointer,thumb,accel_x,accel_y,accel_z,result
77,58,90,90,11,4.84586,7.74764,4.73573,space
77,42,90,90,17,5.78679,8.01818,2.50433,space
74,39,88,90,14,8.30309,3.29682,4.8315,space
70,49,89,90,13,7.67102,6.34703,2.91135,space
66,41,85,90,11,7.8865,6.17225,0.50996,space
53,32,81,83,20,6.50744,7.3071,1.5706,space
55,30,81,83,15,6.51702,6.54575,4.12521,space
53,27,79,80,14,5.29597,6.84502,6.41407,space
53,24,79,79,13,6.70855,4.94881,7.16345,space
50,23,75,76,13,5.11641,7.49625,6.03818,space
49,23,79,78,11,4.52265,8.01339,4.36463,space
51,22,76,74,10,4.65433,8.03734,4.22577,space
47,22,74,74,11,4.76207,8.31506,3.89776,space
49,22,75,76,12,4.20901,8.42998,3.87382,space
50,23,74,76,18,3.14598,8.59758,5.09486,space
53,23,67,78,18,3.36146,9.27993,1.7765,space
56,24,63,78,21,4.10606,8.80348,2.38223,space
56,23,61,77,18,4.32153,8.89207,1.75734,space
55,23,60,77,18,4.52025,8.74362,1.41737,space
55,23,60,77,18,4.55856,8.86094,1.50595,space
42,17,53,62,18,4.52265,8.71011,0.80924,space
29,13,32,40,14,4.27844,8.86812,0.89543,space
18,9,23,25,13,4.33111,8.89925,1.64242,space
70,25,43,79,16,5.4085,8.24324,0.72784,space
66,25,41,79,24,5.6575,8.02536,1.15401,space
65,25,40,77,21,5.96874,7.67102,0.46926,space
63,23,38,75,18,5.88255,8.24802,1.46765,space
63,24,39,75,21,6.10761,7.85059,1.1133,space
63,23,39,74,21,5.94959,7.96311,1.38145,space
62,23,38,74,21,5.88016,7.91044,2.11169,space
59,23,38,71,18,5.69581,8.09719,2.16675,space
59,22,38,71,18,5.60243,8.14986,2.15239,space
60,23,39,72,18,5.09247,8.40125,2.00395,space
60,23,39,72,20,4.8291,8.27676,2.07577,space
60,23,40,72,21,4.90333,8.43238,2.00155,space
59,24,40,71,21,4.82671,8.56406,2.15957,space
59,23,36,71,21,4.22577,8.82263,2.29843,space
59,23,40,70,21,3.90015,8.82503,3.00951,space
59,16,22,75,14,4.29999,8.92798,1.66876,space
78,25,32,82,18,4.69024,8.70771,1.25456,space
62,22,38,70,13,4.11084,8.63828,0.1652,space
75,23,36,79,18,4.67827,8.42759,0.59137,space
76,24,36,79,18,5.03979,8.43238,0.61531,space
73,25,33,75,18,4.97994,8.47308,1.17316,space
73,23,34,74,21,4.87938,8.61434,1.21865,space
75,24,33,72,21,4.65672,8.54251,1.29287,space
73,24,33,69,18,3.97677,8.95431,2.16436,space
70,22,33,66,18,3.7565,9.05248,1.02951,space
86,23,33,77,21,3.77805,9.086,1.15879,space
72,23,33,66,21,3.81636,9.06924,1.22823,space
71,23,32,66,21,3.79242,8.94953,2.6001,space
70,24,26,65,17,5.83467,7.93199,3.39977,space
66,21,38,64,29,6.51702,7.40766,0.66798,space
64,26,42,78,18,6.65109,7.49625,1.31442,space
73,33,44,74,18,6.9791,6.94797,1.25696,space
65,28,43,65,27,6.83545,7.52019,1.44131,space
66,28,39,54,29,6.50983,7.53455,1.20428,space
66,27,40,50,18,6.65109,7.37893,1.37906,space
66,27,41,47,27,6.62715,7.4723,1.43413,space
55,25,42,47,44,6.91206,7.20894,1.1971,space
77,23,39,47,22,3.57694,8.78911,1.46525,space
73,22,38,45,24,3.58651,9.45949,1.30963,space
70,22,38,43,24,4.05099,8.91601,0.76854,space
66,21,37,43,23,3.86424,8.98544,0.84036,space
66,21,38,43,24,3.9241,8.98544,0.72305,space
65,20,37,41,24,3.88579,8.97826,0.65122,space
69,21,37,42,24,4.00789,8.94953,0.43814,space
66,21,37,41,24,4.38378,8.71729,0.30885,space
66,21,37,42,22,4.59447,8.67898,0.19393,space
66,20,37,40,21,4.76686,8.43956,0.02394,space
65,17,37,40,21,4.51068,8.71489,-0.04549,space
73,20,36,41,24,3.7158,9.32542,0.29928,space
79,21,32,42,28,4.74531,8.57364,0.45969,space
77,21,33,41,24,4.79798,7.49385,5.39414,space
74,20,32,38,21,3.56736,8.67659,1.84832,space
75,23,32,40,24,4.5849,8.3821,3.90015,space
72,21,31,38,23,4.16591,8.5473,3.69425,space
70,21,32,38,22,4.19704,8.05409,4.20182,space
25,9,21,20,16,2.57137,9.01656,3.09331,space
56,15,26,32,17,3.78284,8.59518,2.92093,space
70,23,29,40,22,4.11803,8.88728,2.44209,space
67,21,29,38,22,3.47399,9.01896,2.59053,space
58,18,31,38,15,3.88579,9.00938,2.57137,space
57,16,28,39,14,5.44202,8.08761,3.47159,space
60,19,36,39,10,6.72292,7.43878,3.10767,space
66,59,59,74,10,7.25683,6.76841,1.69749,space
63,32,46,64,15,6.94797,7.24246,1.075,space
60,26,43,59,13,7.03177,7.06529,0.91219,space
58,23,42,57,12,6.97192,7.22331,1.06781,space
70,27,48,65,16,6.88094,7.34302,1.37188,space
67,25,41,61,17,6.97192,7.12754,1.24738,space
66,24,39,60,18,6.94797,7.19458,1.21625,space
65,23,39,59,20,6.96713,7.12275,1.07021,space
65,23,38,57,13,6.92882,7.18979,1.54426,space
66,25,37,57,11,6.94079,7.17063,1.59454,space
66,22,37,57,14,6.97431,7.15387,1.2785,space
65,22,37,56,12,6.88333,7.19218,1.51074,space
67,22,37,58,11,6.86418,7.03177,1.52271,space
69,23,37,60,12,4.35505,9.83538,1.06303,space
69,23,37,58,12,3.72777,9.03572,2.81319,space
69,23,37,58,13,4.10366,8.99023,1.58257,space
46,22,53,46,44,10.12508,-0.92895,2.87304,A
40,19,90,47,44,10.22803,-1.02951,1.21386,A
46,23,90,51,44,10.35971,-1.39343,-0.36392,A
49,26,85,48,45,10.3214,-0.06464,0.07661,A
48,25,14,46,43,10.27831,-0.21548,1.55863,A
43,15,50,39,29,10.16817,-0.65841,1.26174,A
43,21,90,46,42,9.85214,2.51631,2.73178,A
44,21,90,43,42,9.96467,1.78368,2.61926,A
44,21,90,43,42,9.97424,1.99676,2.74376,A
55,26,90,43,59,9.30626,3.49553,4.73334,A
54,26,90,43,57,10.35253,-0.48602,2.95444,A
51,25,90,43,56,9.57681,1.68552,3.84269,A
46,23,90,46,61,9.22965,-1.57538,4.89135,A
51,30,90,43,49,10.16099,-1.0726,1.51074,A
37,43,90,47,65,10.19212,-1.18992,2.55461,A
73,34,80,50,85,9.44034,-1.27132,4.50349,A
90,36,79,48,90,9.90002,0.3304,3.94086,A
90,35,78,47,90,9.79228,0.43096,4.25928,A
86,31,76,44,90,9.66779,0.74939,4.49152,A
83,31,81,46,90,9.75398,0.96007,4.37421,A
88,37,88,47,90,9.61511,1.07021,4.47955,A
87,33,85,46,90,9.82341,0.83797,3.91931,A
85,32,83,46,90,9.65342,1.25696,4.66869,A
84,33,84,45,90,9.67018,1.25935,4.55617,A
81,32,84,45,90,9.72285,1.36709,4.27365,A
84,32,84,46,90,9.71806,1.36948,4.34548,A
82,33,84,45,90,9.71328,1.49877,4.24013,A
83,32,81,46,90,9.74919,1.60651,4.10366,A
83,32,84,45,90,9.57681,1.46286,4.8315,A
80,30,82,43,90,9.49301,1.59693,4.93924,A
82,30,83,43,90,9.63427,1.63763,4.53701,A
81,31,84,44,90,9.61751,2.09971,4.13718,A
83,31,85,46,90,9.67976,1.97282,4.13,A
83,31,82,44,90,9.63187,1.99916,4.14915,A
81,31,84,43,90,9.63427,1.97522,4.1707,A
83,31,85,45,90,9.63906,2.04465,4.07733,A
81,30,85,45,90,9.61751,2.14281,4.16112,A
82,30,83,44,90,9.4978,2.29125,4.27126,A
79,31,83,44,90,9.54329,2.44209,4.0462,A
77,29,81,43,90,9.5385,2.48758,4.06296,A
77,29,82,43,90,9.53132,2.65038,3.91452,A
79,31,82,44,90,9.52174,2.75333,3.77566,A
81,29,83,44,90,9.51216,2.74136,3.79481,A
77,29,84,43,90,9.47864,2.82755,3.80439,A
78,31,79,44,90,9.4978,2.84431,3.7182,A
75,30,82,43,90,9.51935,2.75333,3.76608,A
78,30,81,46,90,9.49062,2.79643,3.79481,A
77,29,79,43,90,9.32542,3.06218,3.95043,A
75,27,87,43,90,9.19613,3.42131,4.0893,A
74,27,90,42,90,9.31344,3.19626,3.98635,A
76,27,90,43,90,9.36372,3.14598,3.8834,A
77,27,90,43,90,9.3302,3.2609,3.81875,A
74,26,89,41,90,9.30626,3.27048,3.83072,A
76,27,90,43,90,9.29908,3.34231,3.83551,A
76,27,90,43,90,9.31823,3.25851,3.87621,A
75,26,87,42,90,9.32542,3.20344,3.95043,A
74,25,86,42,90,9.33499,3.19865,3.87621,A
73,24,88,41,90,9.34457,2.98557,4.46997,A
63,27,82,42,90,9.23683,3.84269,3.31836,A
55,25,90,41,90,7.8051,5.19542,4.52744,A
54,24,85,41,90,7.84101,3.85706,5.86819,A
50,24,86,42,90,8.74602,3.12683,5.56412,A
51,25,90,43,90,8.11634,3.84269,3.66073,A
53,25,87,41,90,8.78433,4.60644,3.32794,A
53,24,15,41,90,8.53294,3.93367,4.10127,A
53,24,78,40,90,9.26077,4.0462,1.68552,A
54,24,78,40,90,9.25838,4.07493,1.80762,A
53,25,79,40,90,9.26317,4.08211,1.75016,A
54,24,79,41,90,9.31105,3.98635,1.81241,A
59,27,80,41,90,9.72046,2.79403,0.75178,A
60,32,85,41,90,9.68455,2.94966,0.2897,A
46,27,84,38,87,9.56005,3.27527,1.30484,A
42,24,71,35,76,9.26795,4.12042,1.1157,A
40,22,77,37,77,9.19134,4.0462,-0.15323,A
42,23,30,35,84,8.9615,4.66869,1.30963,A
46,27,79,34,90,9.04769,4.65433,0.7829,A
46,26,14,34,90,9.17937,4.32153,1.45567,A
33,26,14,33,82,8.40844,5.63595,0.51954,A
44,25,11,32,81,8.43477,5.31513,0.67277,A
27,0,90,72,-1,5.66229,0.57461,9.99819,A
